week_id,sales1_name,sales2_name,factor
44,Business,Business Direct - Store Channel,1
45,Business,Business Direct - Store Channel,1
46,Business,Business Direct - Store Channel,1
47,Business,Business Direct - Store Channel,1
48,Business,Business Direct - Store Channel,1
49,Business,Business Direct - Store Channel,1
50,Business,Business Direct - Store Channel,1
51,Business,Business Direct - Store Channel,1
52,Business,Business Direct - Store Channel,1
1,Business,Business Direct - Direct Channel,1
2,Business,Business Direct - Direct Channel,1
3,Business,Business Direct - Direct Channel,1
4,Business,Business Direct - Direct Channel,1
5,Business,Business Direct - Direct Channel,1
6,Business,Business Direct - Direct Channel,1
7,Business,Business Direct - Direct Channel,1
8,Business,Business Direct - Direct Channel,1
9,Business,Business Direct - Direct Channel,1
10,Business,Business Direct - Direct Channel,1
11,Business,Business Direct - Direct Channel,1
12,Business,Business Direct - Direct Channel,1
13,Business,Business Direct - Direct Channel,1
14,Business,Business Direct - Direct Channel,1
15,Business,Business Direct - Direct Channel,1
16,Business,Business Direct - Direct Channel,1
17,Business,Business Direct - Direct Channel,1
18,Business,Business Direct - Direct Channel,1
19,Business,Business Direct - Direct Channel,1
20,Business,Business Direct - Direct Channel,1
21,Business,Business Direct - Direct Channel,1
22,Business,Business Direct - Direct Channel,1
23,Business,Business Direct - Direct Channel,1
24,Business,Business Direct - Direct Channel,1
25,Business,Business Direct - Direct Channel,1
26,Business,Business Direct - Direct Channel,1
27,Business,Business Direct - Direct Channel,1
28,Business,Business Direct - Direct Channel,1
29,Business,Business Direct - Direct Channel,1
30,Business,Business Direct - Direct Channel,1
31,Business,Business Direct - Direct Channel,1
32,Business,Business Direct - Direct Channel,1
33,Business,Business Direct - Direct Channel,1
34,Business,Business Direct - Direct Channel,1
35,Business,Business Direct - Direct Channel,1
36,Business,Business Direct - Direct Channel,1
37,Business,Business Direct - Direct Channel,1
38,Business,Business Direct - Direct Channel,1
39,Business,Business Direct - Direct Channel,1
40,Business,Business Direct - Direct Channel,1
41,Business,Business Direct - Direct Channel,1
42,Business,Business Direct - Direct Channel,1
43,Business,Business Direct - Direct Channel,1
44,Business,Business Direct - Direct Channel,1
45,Business,Business Direct - Direct Channel,1
46,Business,Business Direct - Direct Channel,1
47,Business,Business Direct - Direct Channel,1
48,Business,Business Direct - Direct Channel,1
49,Business,Business Direct - Direct Channel,1
50,Business,Business Direct - Direct Channel,1
51,Business,Business Direct - Direct Channel,1
52,Business,Business Direct - Direct Channel,1
1,WIM,WIM - Non-retirement,1
2,WIM,WIM - Non-retirement,1
3,WIM,WIM - Non-retirement,1
4,WIM,WIM - Non-retirement,1
5,WIM,WIM - Non-retirement,1
6,WIM,WIM - Non-retirement,1
7,WIM,WIM - Non-retirement,1
8,WIM,WIM - Non-retirement,1
9,WIM,WIM - Non-retirement,1
10,WIM,WIM - Non-retirement,1
11,WIM,WIM - Non-retirement,1
12,WIM,WIM - Non-retirement,1
13,WIM,WIM - Non-retirement,1
14,WIM,WIM - Non-retirement,1
15,WIM,WIM - Non-retirement,1
16,WIM,WIM - Non-retirement,1
17,WIM,WIM - Non-retirement,1
18,WIM,WIM - Non-retirement,1
19,WIM,WIM - Non-retirement,1
20,WIM,WIM - Non-retirement,1
21,WIM,WIM - Non-retirement,1
