sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,hl,hrf,max,cpp,wks,beta,curvegroup_name,factor_1,factor_2,factor_3
Business,Business Checking - New Checking Customers,Television,General Market,Brand,National,4,0.3,134.59,34785.33651,1,298.4609089,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Online Display,General Market,Brand,National,0.3,0.15,2442528.591,1,1,452.9270811,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Television,General Market,Deposits,National,3,0.15,141.33,29371.62418,1,315.3531315,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Newspaper,General Market,Traffic Driving,National,0.6,0.3,770207.3998,1,1,102.4815894,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Magazine,General Market,Traffic Driving,National,1,0.3,337552.2133,1,1,159.278938,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Direct Mail Acq/Prosp,Direct Mail,SMB Deposits,National,1,0.6,927151,0.56,1,122.6894398,weekly,867,1162,1683
Business,Business Checking - New Checking Customers,Direct Mail Xsell/Recap,Direct Mail,SMB Deposits,National,1,0.15,147817,0.56,1,399.1990776,weekly,867,1162,1683
Business,Business Direct - Store Channel,Television,General Market,Small Business,National,4,0.15,98.54403215,28701.67614,1,221.561669,weekly,379,517,868
Business,Business Direct - Store Channel,Magazine,General Market,Small Business,National,0.6,0.15,533106.9741,1,1,66.52398441,weekly,379,517,868
Business,Business Direct - Store Channel,Outdoor,General Market,Small Business,National,1,0.15,415969.8772,1,1,63.04522712,weekly,379,517,868
Business,Business Direct - Store Channel,Radio,General Market,Brand,National,0.6,0.15,700242.9861,1,1,48.02050046,weekly,379,517,868
Business,Business Direct - Store Channel,Newspaper,General Market,Brand,National,0.6,0.3,620940.7983,1,1,49.29081359,weekly,379,517,868
Business,Business Direct - Store Channel,Newspaper,General Market,Traffic Driving,National,0.6,0.15,770207.3998,1,1,53.97456862,weekly,379,517,868
Business,Business Direct - Store Channel,Online Display,General Market,Traffic Driving,National,0.6,0.3,380301384,0.002042718,1,84.94584463,weekly,379,517,868
Business,Business Direct - Direct Channel,Radio,General Market,Brand,National,0.6,0.3,700242.9861,1,1,81.74017706,weekly,661,902,1516
Business,Business Direct - Direct Channel,Newspaper,General Market,Traffic Driving,National,0.3,0.45,770207.3998,1,1,143.8004373,weekly,661,902,1516
Business,Business Direct - Direct Channel,Online Display,General Market,Traffic Driving,National,0.3,0.45,380301384,0.002042718,1,53.29182757,weekly,661,902,1516
Business,Business Direct - Direct Channel,Direct Mail Acq/Prosp,Direct Mail,Business Direct Lines,National,3,0.45,2664700,0.56,1,1531.334569,weekly,661,902,1516
Business,Business Direct - Direct Channel,Direct Mail Xsell/Recap,Direct Mail,Business Direct Lines,National,3,0.45,705299,0.56,1,252.9260452,weekly,661,902,1516
Business,Business Direct - Direct Channel,Direct Mail Xsell/Recap,Direct Mail,Business Direct Credit,National,1,0.45,751728,0.56,1,206.6959689,weekly,661,902,1516
WIM,WIM - Non-retirement,Television,General Market,WBR Brokerage,National,2,0.2,102.66496,34679.69265,1,549.1426359,weekly,635,844,844
WIM,WIM - Non-retirement,Newspaper,General Market,WBR Brokerage,National,0.6,0.3,1108767.736,1,1,174.8356536,weekly,635,844,844
WIM,WIM - Non-retirement,Online Display,General Market,WBR Brokerage,National,0.6,0.15,95839740,0.001546646,1,153.8528807,weekly,635,844,844
WIM,WIM - Non-retirement,Paid Search,General Market,WBR Brokerage,National,0.01,0.15,33931,1.90462946,1,250.4185388,weekly,635,844,844
WIM,WIM - Non-retirement,Magazine,General Market,WBR Retirement,National,0.6,0.3,689443.1069,1,1,117.4500511,weekly,635,844,844
WIM,WIM - Non-retirement,Paid Search,General Market,WBR Retirement,National,0.01,0.3,15088,2.086705959,1,77.37171069,weekly,635,844,844
WIM,WIM - Non-retirement,Radio,General Market,Brand,National,0.6,0.3,700242.9861,1,1,46.62222756,weekly,635,844,844
WIM,WIM - Non-retirement,Online Display,General Market,Brand,National,0.6,0.45,2442528.591,1,1,72.93796149,weekly,635,844,844
WIM,WIM - Non-retirement,Direct Mail Acq/Prosp,Direct Mail,WBR,National,2,0.3,2214090,0.56,1,813.1680889,weekly,635,844,844
