sales1_name,sales2_name,chan1_name,chan2_name,chan3_name,dma1_name,var,beta,hl,hrf,max,cpp,apprate,ratio,m_1,m_2,m_3,m_4,m_5
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,Mortgage,General Market,National,trd_mrtg_spd,300.273814,1,0.15,560378.429,1,0.2942,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Radio,Mortgage eLending,General Market,National,trd_meld_spd,288.5149219,1,0.15,449060.1,1,0.23501625,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Television,Deposits,General Market,National,ttv_dpst_trp,1153.283337,1,0.15,675.36,27396.33723,1,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - Existing WF Customers,Television,Mortgage,General Market,National,ttv_mrtg_trp,901.2264938,2,0.45,367.8,28375.57342,1,1,0.23501625,711,1597,2067,2067
Mortgage,Purchase Mortgage - New WF Customers,Online Display,Mortgage,General Market,National,odp_tl_mtg_spd,374.5430488,0.6,0.15,216734.588,1,0.23501625,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Online Display,Mortgage eLending,General Market,National,odp_tl_mel_spd,538.8764881,0.6,0.15,1236085.57,1,0.23501625,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Paid Search,Mortgage,General Market,National,ops_mtg_tl_tl_clk,464.5740647,0.01,0.15,139537,1.987502023,0.23501625,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Radio,Brand,General Market,National,trd_brnd_spd,189.1043888,0.6,0.15,932153.265,1,0.3,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Radio,Mortgage,General Market,National,trd_mrtg_spd,138.6305831,1,0.15,560378.429,1,0.2942,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Radio,Mortgage eLending,General Market,National,trd_meld_spd,522.1407741,1,0.15,449060.1,1,0.23501625,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Television,Brand,General Market,National,ttv_brnd_trp,281.0361259,1,0.45,383.4,33818.11378,1,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Television,Deposits,General Market,National,ttv_dpst_trp,658.924032,1,0.45,675.36,27396.33723,1,1,0.361693778,703,1577,2042,2042
Mortgage,Purchase Mortgage - New WF Customers,Television,Mortgage,General Market,National,ttv_mrtg_trp,1219.66306,2,0.45,367.8,28375.57342,1,1,0.361693778,703,1577,2042,2042
Mortgage,Refi Mortgage - Existing WF Customers,Newspaper,Brand,Diverse Segment,National,tnp_ds_brnd_ecr,28.5631475,0.3,0.45,3530113,0.081350033,1,1,0.471357301,645,1448,1875,1875
